, PRO CASH ,, PRO TJ  ,,,,,,,,,,,,,,Date,Provider,Product,Quantity,Price,Total,Cash/card,,,,,,,,,
TOTAL, $100.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $60.00 , tahe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $40.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/11/2024, $15.00 , JB AZUL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, GEL JB PURPLE, $15.00 ,5.27PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2024,,, $85.00 ,TAHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,telarana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $16.00 ,gel jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $16.00 ,gel caspa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $25.00 ,flix ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $12.00 ,cera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $12.00 ,jb   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $125.00 ,, $116.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $31.00 ,FELIX ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $85.00 ,TAHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/2024,,ST JB, $13.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,GEL JB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/20/2024,,, $15.00 ,gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $16.00 ,polv jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,gel jb, $15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,jb polvo, $10.00 ,12.26pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,tah ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $45.00 ,shampoo kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,jb morado, $15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $18.00 ,mousse,,,,7 dollar ,,,,,,,,,,,,,,,,,,,,,,,,,,
3/23/2024,,cera, $12.00 ,12:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $15.00 ,jb  3;4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $45.00 ,tahe 7;39,,60 tahe ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $15.00 ,flix 7;39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL, $124.00 ,, $155.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $78.00 ,TAHE, $45.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $46.00 ,FELIX, $110.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Mar,,, $15.00 ,tah,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Mar, $15.00 ,,,gentlemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $15.00 ,jb,,,32 SPYRA COLOR,,,,,,,,,,,,,,,,,,,,,,,,,
27/3, $15.00 ,,,gel a camilo ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $30.00 ,tahe gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
